values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.797293;12.925809;12.880378;-0.055039998;
12.79847;12.925915;12.884459;-0.46893176;
12.79847;12.925915;12.884459;-0.46893176;
12.79847;12.925915;12.884459;-0.46893176;
12.798409;12.922013;12.879922;0.077477649;
12.798409;12.922013;12.879922;0.077477649;
12.798409;12.922013;12.879922;0.077477649;
12.798409;12.922013;12.879922;0.077477649;
12.795037;12.926181;12.880888;0.041813333;
12.795037;12.926181;12.880888;0.041813333;
12.795037;12.926181;12.880888;0.041813333;
12.801449;12.926598;12.879279;-0.0098886276;
12.801449;12.926598;12.879279;-0.0098886276;
12.801449;12.926598;12.879279;-0.0098886276;
12.801449;12.926598;12.879279;-0.0098886276;
12.799251;12.927405;12.879776;0.031397648;
12.799251;12.927405;12.879776;0.031397648;
12.799251;12.927405;12.879776;0.031397648;
12.799251;12.927405;12.879776;0.031397648;
12.794077;12.92262;12.883211;-0.51363134;
12.794077;12.92262;12.883211;-0.51363134;
12.794077;12.92262;12.883211;-0.51363134;
12.800744;12.930432;12.884013;-0.15801725;
12.800744;12.930432;12.884013;-0.15801725;
12.800744;12.930432;12.884013;-0.15801725;
12.800744;12.930432;12.884013;-0.15801725;
12.799213;12.927457;12.880793;-0.011369412;
12.799213;12.927457;12.880793;-0.011369412;
12.799213;12.927457;12.880793;-0.011369412;
12.799213;12.927457;12.880793;-0.011369412;
12.80328;12.926388;12.878193;-0.24593569;
12.80328;12.926388;12.878193;-0.24593569;
12.80328;12.926388;12.878193;-0.24593569;
12.803136;12.928316;12.879581;-0.15563294;
12.803136;12.928316;12.879581;-0.15563294;
12.803136;12.928316;12.879581;-0.15563294;
12.801159;12.925894;12.878301;0.075745881;
12.801159;12.925894;12.878301;0.075745881;
12.801159;12.925894;12.878301;0.075745881;
12.801159;12.925894;12.878301;0.075745881;
12.794723;12.931798;12.878893;-0.12175059;
12.794723;12.931798;12.878893;-0.12175059;
12.794723;12.931798;12.878893;-0.12175059;
12.797116;12.923731;12.878406;-0.074089415;
12.797116;12.923731;12.878406;-0.074089415;
12.797116;12.923731;12.878406;-0.074089415;
12.797116;12.923731;12.878406;-0.074089415;
12.799837;12.925512;12.882105;-0.010089411;
12.799837;12.925512;12.882105;-0.010089411;
12.799837;12.925512;12.882105;-0.010089411;
12.799212;12.925059;12.87727;-0.14167844;
12.799212;12.925059;12.87727;-0.14167844;
12.799212;12.925059;12.87727;-0.14167844;
12.799212;12.925059;12.87727;-0.14167844;
12.797521;12.923043;12.881709;0.18494745;
12.797521;12.923043;12.881709;0.18494745;
12.797521;12.923043;12.881709;0.18494745;
12.796638;12.926249;12.882659;0.050095685;
12.796638;12.926249;12.882659;0.050095685;
12.796638;12.926249;12.882659;0.050095685;
12.796638;12.926249;12.882659;0.050095685;
12.795966;12.926349;12.878734;-0.1663498;
12.795966;12.926349;12.878734;-0.1663498;
12.795966;12.926349;12.878734;-0.1663498;
12.795362;12.931583;12.883978;-0.0097631374;
12.795362;12.931583;12.883978;-0.0097631374;
12.795362;12.931583;12.883978;-0.0097631374;
12.795362;12.931583;12.883978;-0.0097631374;
12.796417;12.927247;12.881243;-0.21845333;
12.796417;12.927247;12.881243;-0.21845333;
12.796417;12.927247;12.881243;-0.21845333;
12.801133;12.925927;12.882456;-0.24264784;
12.801133;12.925927;12.882456;-0.24264784;
12.801133;12.925927;12.882456;-0.24264784;
12.801133;12.925927;12.882456;-0.24264784;
12.798081;12.929346;12.875594;-0.081192158;
12.798081;12.929346;12.875594;-0.081192158;
12.798081;12.929346;12.875594;-0.081192158;
12.797883;12.925253;12.881331;-0.25241098;
12.797883;12.925253;12.881331;-0.25241098;
12.797883;12.925253;12.881331;-0.25241098;
12.794518;12.92458;12.877014;0.0345851;
12.794518;12.92458;12.877014;0.0345851;
12.794518;12.92458;12.877014;0.0345851;
12.794518;12.92458;12.877014;0.0345851;
12.800645;12.931816;12.88133;-0.056169413;
12.800645;12.931816;12.88133;-0.056169413;
12.800645;12.931816;12.88133;-0.056169413;
12.79587;12.923318;12.880367;-0.42583844;
12.79587;12.923318;12.880367;-0.42583844;
12.79587;12.923318;12.880367;-0.42583844;
12.79587;12.923318;12.880367;-0.42583844;
12.795094;12.929863;12.879319;-0.28639373;
12.795094;12.929863;12.879319;-0.28639373;
12.795094;12.929863;12.879319;-0.28639373;
12.795094;12.929863;12.879319;-0.28639373;
12.795807;12.931896;12.879885;-0.011068235;
12.795807;12.931896;12.879885;-0.011068235;
12.795807;12.931896;12.879885;-0.011068235;
12.795033;12.931257;12.881961;-0.1703655;
12.795033;12.931257;12.881961;-0.1703655;
12.795033;12.931257;12.881961;-0.1703655;
12.795841;12.931449;12.882446;-0.017970197;
12.795841;12.931449;12.882446;-0.017970197;
12.795841;12.931449;12.882446;-0.017970197;
12.795841;12.931449;12.882446;-0.017970197;
12.79838;12.930925;12.880805;-0.0045929411;
12.79838;12.930925;12.880805;-0.0045929411;
12.79838;12.930925;12.880805;-0.0045929411;
12.79838;12.930925;12.880805;-0.0045929411;
12.796067;12.930821;12.883827;0.14591999;
12.796067;12.930821;12.883827;0.14591999;
12.796067;12.930821;12.883827;0.14591999;
12.796985;12.927878;12.875728;-0.28390902;
12.796985;12.927878;12.875728;-0.28390902;
12.796985;12.927878;12.875728;-0.28390902;
12.796985;12.927878;12.875728;-0.28390902;
12.800703;12.932136;12.879215;-0.11914039;
12.800703;12.932136;12.879215;-0.11914039;
12.800703;12.932136;12.879215;-0.11914039;
12.800703;12.932136;12.879215;-0.11914039;
12.797811;12.935773;12.877316;0.067187451;
12.797811;12.935773;12.877316;0.067187451;
12.797811;12.935773;12.877316;0.067187451;
12.798641;12.93339;12.87847;-0.21985883;
12.798641;12.93339;12.87847;-0.21985883;
12.798641;12.93339;12.87847;-0.21985883;
12.798641;12.93339;12.87847;-0.21985883;
12.791272;12.93027;12.878643;0.049719214;
12.791272;12.93027;12.878643;0.049719214;
12.791272;12.93027;12.878643;0.049719214;
12.794482;12.922629;12.882271;-0.23624784;
12.794482;12.922629;12.882271;-0.23624784;
12.794482;12.922629;12.882271;-0.23624784;
12.794482;12.922629;12.882271;-0.23624784;
12.79335;12.929985;12.874886;-0.29876706;
12.79335;12.929985;12.874886;-0.29876706;
12.79335;12.929985;12.874886;-0.29876706;
12.79335;12.929985;12.874886;-0.29876706;
12.795606;12.92592;12.88059;-0.23012392;
12.795606;12.92592;12.88059;-0.23012392;
12.795606;12.92592;12.88059;-0.23012392;
