Time,Vdc,Adc
1678483569.739982, 4.7485e1, 1.4981e1
1678483570.2087216, 4.7483e1, 1.4981e1
1678483570.8413806, 4.7482e1, 1.4981e1
1678483571.2559943, 4.7481e1, 1.4981e1
1678483571.7402568, 4.7480e1, 1.4981e1
1678483572.2089872, 4.7480e1, 1.4981e1
1678483572.8413477, 4.7479e1, 1.4981e1
1678483573.257041, 4.7478e1, 1.4981e1
1678483573.7400703, 4.7477e1, 1.4981e1
1678483574.2092597, 4.7476e1, 1.4981e1
1678483574.842312, 4.7475e1, 1.4981e1
1678483575.2570882, 4.7474e1, 1.4981e1
1678483575.740082, 4.7473e1, 1.4981e1
1678483576.209493, 4.7472e1, 1.4981e1
1678483576.8424947, 4.7470e1, 1.4981e1
1678483577.2571368, 4.7469e1, 1.4981e1
1678483577.7401853, 4.7469e1, 1.4981e1
1678483578.2097604, 4.7469e1, 1.4981e1
1678483578.8426034, 4.7468e1, 1.4981e1
1678483579.257169, 4.7468e1, 1.4981e1
1678483579.7413652, 4.7468e1, 1.4981e1
1678483580.2099633, 4.7467e1, 1.4981e1
1678483580.8426454, 4.7466e1, 1.4981e1
1678483581.258242, 4.7465e1, 1.4981e1
1678483581.7412555, 4.7464e1, 1.4981e1
1678483582.2102692, 4.7463e1, 1.4981e1
1678483582.8424945, 4.7462e1, 1.4981e1
1678483583.2583032, 4.7462e1, 1.4981e1
1678483583.7412987, 4.7461e1, 1.4981e1
1678483584.2105217, 4.7460e1, 1.4981e1
1678483584.843362, 4.7459e1, 1.4981e1
1678483585.2583199, 4.7459e1, 1.4981e1
1678483585.7413878, 4.7458e1, 1.4981e1
1678483586.2107797, 4.7458e1, 1.4981e1
1678483586.8438206, 4.7457e1, 1.4981e1
1678483587.2583754, 4.7456e1, 1.4981e1
1678483587.74239, 4.7455e1, 1.4981e1
1678483588.2110972, 4.7455e1, 1.4981e1
1678483588.8439097, 4.7454e1, 1.4981e1
1678483589.258424, 4.7453e1, 1.4981e1
1678483589.7423964, 4.7452e1, 1.4981e1
1678483590.2113347, 4.7451e1, 1.4981e1
1678483590.8438113, 4.7451e1, 1.4981e1
1678483591.2594662, 4.7450e1, 1.4981e1
1678483591.7426007, 4.7450e1, 1.4981e1
1678483592.2116103, 4.7449e1, 1.4981e1
1678483592.8438904, 4.7448e1, 1.4981e1
1678483593.2595222, 4.7446e1, 1.4981e1
1678483593.7425122, 4.7445e1, 1.4981e1
