V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
2.402,0.313,0.973,46.21,0.111,3.759,0.822,2.937,-0.253,-2.457
2.412,0.315,0.977,46.78,0.113,3.774,0.837,2.937,-0.256,-2.555
2.422,0.316,0.981,47.31,0.115,3.786,0.850,2.936,-0.260,-2.660
2.432,0.317,0.985,47.84,0.116,3.796,0.860,2.937,-0.264,-2.773
2.442,0.319,0.989,48.45,0.118,3.813,0.878,2.936,-0.266,-2.906
2.452,0.320,0.993,48.88,0.120,3.816,0.882,2.934,-0.263,-2.965
2.462,0.321,0.997,49.54,0.122,3.836,0.903,2.933,-0.264,-3.103
2.472,0.323,1.001,50.18,0.124,3.854,0.922,2.932,-0.268,-3.190
2.482,0.324,1.005,50.63,0.126,3.858,0.926,2.931,-0.270,-3.346
2.492,0.325,1.009,51.22,0.128,3.871,0.941,2.931,-0.272,-3.491
2.503,0.326,1.014,51.86,0.130,3.888,0.957,2.931,-0.274,-3.658
2.513,0.328,1.018,52.48,0.132,3.903,0.973,2.930,-0.277,-3.778
2.523,0.329,1.022,53.12,0.134,3.920,0.991,2.929,-0.277,-3.956
2.533,0.330,1.026,53.66,0.136,3.928,1.000,2.928,-0.275,-4.097
2.543,0.332,1.030,54.39,0.138,3.950,1.021,2.929,-0.268,-4.239
2.553,0.333,1.034,55.11,0.141,3.971,1.041,2.930,-0.265,-4.371
2.563,0.334,1.038,55.83,0.143,3.992,1.061,2.931,-0.264,-4.601
2.573,0.336,1.042,56.55,0.145,4.012,1.077,2.935,-0.262,-4.857
2.583,0.337,1.046,57.33,0.148,4.036,1.101,2.934,-0.259,-5.046
2.593,0.338,1.050,58.08,0.151,4.057,1.122,2.936,-0.256,-5.268
2.603,0.339,1.054,58.72,0.153,4.070,1.135,2.936,-0.253,-5.496
2.613,0.341,1.058,59.55,0.156,4.097,1.159,2.938,-0.255,-5.689
2.623,0.342,1.062,60.43,0.158,4.125,1.185,2.940,-0.248,-5.966
2.633,0.343,1.066,61.26,0.161,4.150,1.210,2.940,-0.242,-6.206
2.643,0.345,1.070,62.04,0.164,4.171,1.228,2.943,-0.237,-6.472
2.653,0.346,1.074,62.76,0.166,4.188,1.245,2.943,-0.234,-6.662
2.663,0.347,1.078,63.46,0.169,4.203,1.259,2.944,-0.229,-6.902
2.673,0.349,1.082,64.27,0.172,4.225,1.279,2.945,-0.221,-7.076
2.683,0.350,1.086,65.15,0.175,4.250,1.300,2.950,-0.221,-7.315
2.693,0.351,1.091,65.99,0.178,4.273,1.324,2.949,-0.211,-7.558
2.703,0.353,1.095,66.82,0.181,4.295,1.343,2.952,-0.202,-7.860
2.713,0.354,1.099,67.57,0.183,4.311,1.357,2.955,-0.196,-8.109
2.723,0.355,1.103,68.42,0.186,4.333,1.373,2.961,-0.190,-8.413
2.733,0.356,1.107,69.65,0.190,4.379,1.415,2.964,-0.181,-8.722
2.743,0.358,1.111,70.41,0.193,4.395,1.431,2.964,-0.174,-8.961
2.753,0.359,1.115,71.13,0.196,4.407,1.442,2.965,-0.167,-9.242
2.763,0.360,1.119,71.97,0.199,4.427,1.460,2.967,-0.161,-9.561
2.773,0.362,1.123,72.72,0.202,4.441,1.472,2.969,-0.153,-9.839
2.783,0.363,1.127,73.56,0.205,4.460,1.491,2.969,-0.146,-10.01
2.793,0.364,1.131,74.41,0.208,4.479,1.511,2.968,-0.136,-10.30
2.803,0.366,1.135,75.02,0.210,4.484,1.515,2.969,-0.128,-10.31
2.813,0.367,1.139,75.96,0.214,4.508,1.536,2.971,-0.117,-10.60
2.823,0.368,1.143,76.87,0.217,4.530,1.557,2.973,-0.107,-10.89
2.833,0.370,1.147,77.59,0.220,4.540,1.567,2.973,-0.099,-11.14
2.843,0.371,1.151,78.32,0.223,4.550,1.578,2.972,-0.086,-11.47
2.853,0.372,1.155,79.34,0.226,4.577,1.601,2.976,-0.075,-11.76
2.863,0.373,1.159,79.85,0.229,4.574,1.597,2.977,-0.071,-12.07
2.873,0.375,1.164,80.58,0.232,4.584,1.607,2.977,-0.062,-12.35
2.883,0.376,1.168,81.28,0.234,4.592,1.614,2.978,-0.043,-12.65
2.893,0.377,1.172,82.11,0.238,4.607,1.629,2.978,-0.032,-12.86
2.903,0.379,1.176,83.18,0.241,4.635,1.656,2.979,-0.020,-13.08
2.913,0.380,1.180,84.22,0.245,4.660,1.675,2.985,-0.007,-13.36
2.923,0.381,1.184,84.93,0.248,4.667,1.682,2.985,0.005,-13.66
2.933,0.383,1.188,85.67,0.251,4.676,1.691,2.985,0.019,-13.96
2.943,0.384,1.192,86.49,0.255,4.689,1.704,2.985,0.032,-14.26
2.953,0.385,1.196,87.18,0.257,4.694,1.709,2.985,0.039,-14.59
2.963,0.386,1.200,88.12,0.261,4.713,1.722,2.991,0.054,-14.72
2.973,0.388,1.204,88.81,0.264,4.718,1.733,2.984,0.062,-14.86
2.983,0.389,1.208,89.44,0.267,4.719,1.734,2.985,0.076,-15.16
2.993,0.390,1.212,90.34,0.270,4.735,1.750,2.985,0.089,-15.49
3.003,0.392,1.216,90.98,0.273,4.737,1.758,2.979,0.102,-15.77
3.013,0.393,1.220,91.63,0.276,4.739,1.760,2.979,0.116,-16.03
3.023,0.394,1.224,91.62,0.277,4.707,1.729,2.978,0.131,-16.29
3.033,0.396,1.228,92.59,0.281,4.726,1.745,2.980,0.142,-16.38
3.043,0.397,1.232,93.35,0.284,4.733,1.753,2.980,0.156,-16.59
3.053,0.398,1.236,88.03,0.269,4.434,1.453,2.981,0.169,-16.86
3.063,0.400,1.241,88.88,0.272,4.448,1.464,2.984,0.174,-16.96
3.073,0.401,1.245,89.63,0.275,4.456,1.472,2.984,0.185,-17.17
3.083,0.402,1.249,90.56,0.279,4.473,1.489,2.985,0.201,-17.45
3.093,0.403,1.253,96.99,0.300,4.760,1.776,2.984,0.206,-17.62
3.103,0.405,1.257,98.20,0.305,4.788,1.810,2.979,0.227,-17.87
3.113,0.406,1.261,98.44,0.306,4.769,1.790,2.979,0.243,-18.15
3.123,0.407,1.265,99.19,0.310,4.775,1.797,2.978,0.252,-18.45
3.133,0.409,1.269,99.92,0.313,4.779,1.802,2.977,0.265,-18.68
3.143,0.410,1.273,101.0,0.317,4.800,1.826,2.974,0.281,-19.04
3.153,0.411,1.277,95.73,0.302,4.521,1.549,2.972,0.295,-19.26
3.163,0.413,1.281,96.42,0.305,4.525,1.553,2.971,0.290,-19.44
3.173,0.414,1.285,103.0,0.327,4.805,1.836,2.969,0.301,-19.77
3.183,0.415,1.289,103.7,0.330,4.807,1.839,2.968,0.300,-20.04
3.193,0.417,1.293,104.1,0.332,4.794,1.829,2.965,0.313,-20.31
3.203,0.418,1.297,104.1,0.333,4.763,1.800,2.963,0.320,-20.72
3.213,0.419,1.301,105.5,0.339,4.796,1.819,2.976,0.333,-20.84
3.223,0.420,1.305,106.1,0.342,4.797,1.824,2.973,0.343,-20.65
3.233,0.422,1.309,106.6,0.345,4.790,1.818,2.972,0.357,-20.86
3.243,0.423,1.314,107.5,0.349,4.798,1.822,2.975,0.369,-21.07
3.253,0.424,1.318,108.9,0.354,4.832,1.838,2.994,0.384,-21.35
3.263,0.426,1.322,111.3,0.363,4.905,1.885,3.020,0.403,-21.59
3.273,0.427,1.326,111.9,0.366,4.904,1.879,3.025,0.414,-21.78
3.283,0.428,1.330,113.0,0.371,4.923,1.894,3.029,0.421,-21.89
3.293,0.430,1.334,113.7,0.374,4.922,1.894,3.028,0.445,-22.10
3.303,0.431,1.338,114.5,0.378,4.928,1.891,3.036,0.456,-22.36
3.313,0.432,1.342,115.4,0.382,4.937,1.899,3.038,0.468,-22.58
3.323,0.433,1.346,115.9,0.385,4.925,1.889,3.036,0.483,-22.84
3.333,0.435,1.350,117.3,0.391,4.958,1.910,3.049,0.494,-23.03
3.343,0.436,1.354,118.3,0.396,4.971,1.916,3.055,0.508,-23.23
