V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
1.612,0.210,0.653,20.98,0.034,3.792,0.701,3.090,0.000,0.000
1.622,0.212,0.657,21.23,0.034,3.791,0.704,3.087,0.000,0.000
1.632,0.213,0.661,21.49,0.035,3.791,0.707,3.084,0.000,0.000
1.642,0.214,0.665,21.76,0.036,3.791,0.710,3.080,0.000,0.000
1.652,0.215,0.669,22.03,0.036,3.791,0.714,3.077,0.000,0.000
1.662,0.217,0.673,22.30,0.037,3.792,0.718,3.074,0.000,0.000
1.672,0.218,0.677,22.57,0.038,3.792,0.722,3.070,0.000,0.000
1.682,0.219,0.681,22.84,0.038,3.793,0.725,3.067,0.000,0.000
1.692,0.221,0.685,23.12,0.039,3.793,0.729,3.064,0.000,0.000
1.702,0.222,0.689,23.39,0.040,3.792,0.732,3.061,0.000,0.000
1.712,0.223,0.693,23.66,0.040,3.792,0.734,3.058,0.000,0.000
1.722,0.225,0.697,23.93,0.041,3.790,0.736,3.055,0.000,0.000
1.732,0.226,0.701,24.20,0.042,3.788,0.737,3.051,0.000,0.000
1.742,0.227,0.706,24.46,0.043,3.786,0.737,3.048,0.000,0.000
1.752,0.229,0.710,24.72,0.043,3.782,0.737,3.045,0.000,0.000
1.762,0.230,0.714,24.98,0.044,3.779,0.736,3.042,0.000,0.000
1.772,0.231,0.718,25.24,0.045,3.775,0.735,3.039,0.000,0.000
1.782,0.232,0.722,25.49,0.045,3.770,0.734,3.036,0.000,0.000
1.792,0.234,0.726,25.75,0.046,3.765,0.732,3.033,0.000,0.000
1.802,0.235,0.730,26.00,0.047,3.760,0.730,3.030,0.000,0.000
1.812,0.236,0.734,26.25,0.048,3.755,0.728,3.027,0.000,0.000
1.822,0.238,0.738,26.51,0.048,3.750,0.725,3.025,0.000,0.000
1.832,0.239,0.742,26.76,0.049,3.744,0.723,3.022,0.000,0.000
1.842,0.240,0.746,27.02,0.050,3.739,0.721,3.019,0.000,0.000
1.852,0.242,0.750,27.28,0.051,3.734,0.718,3.016,0.000,0.000
1.862,0.243,0.754,27.54,0.051,3.729,0.716,3.013,0.000,0.000
1.872,0.244,0.758,27.80,0.052,3.725,0.715,3.010,0.000,0.000
1.882,0.246,0.762,28.06,0.053,3.721,0.713,3.007,0.000,0.000
1.892,0.247,0.766,28.33,0.054,3.716,0.712,3.005,0.000,0.000
1.902,0.248,0.770,28.60,0.054,3.713,0.711,3.002,0.000,0.000
1.912,0.249,0.774,28.88,0.055,3.709,0.710,2.999,0.000,0.000
1.922,0.251,0.779,29.15,0.056,3.706,0.709,2.996,0.000,0.000
1.932,0.252,0.783,29.43,0.057,3.703,0.709,2.994,0.000,0.000
1.942,0.253,0.787,29.72,0.058,3.700,0.709,2.991,0.000,0.000
1.952,0.255,0.791,30.00,0.059,3.697,0.709,2.988,0.000,0.000
1.962,0.256,0.795,30.29,0.059,3.695,0.709,2.986,0.000,0.000
1.972,0.257,0.799,30.58,0.060,3.692,0.709,2.983,0.000,0.000
1.982,0.259,0.803,30.87,0.061,3.690,0.709,2.980,0.000,0.000
1.992,0.260,0.807,31.16,0.062,3.687,0.709,2.978,0.000,0.000
2.002,0.261,0.811,31.46,0.063,3.685,0.710,2.975,0.000,0.000
2.012,0.262,0.815,31.75,0.064,3.682,0.710,2.973,0.000,0.000
2.022,0.264,0.819,32.05,0.065,3.680,0.710,2.970,0.000,0.000
2.032,0.265,0.823,32.34,0.066,3.677,0.710,2.968,0.000,0.000
2.042,0.266,0.827,32.64,0.067,3.675,0.710,2.965,0.000,0.000
2.052,0.268,0.831,32.93,0.068,3.672,0.710,2.963,0.000,0.000
2.062,0.269,0.835,33.23,0.069,3.670,0.709,2.960,0.000,0.000
2.072,0.270,0.839,33.53,0.069,3.667,0.709,2.958,0.000,0.000
2.082,0.272,0.843,33.83,0.070,3.664,0.709,2.955,0.000,0.000
2.092,0.273,0.847,34.13,0.071,3.661,0.709,2.953,0.000,0.000
2.102,0.274,0.852,34.43,0.072,3.658,0.708,2.950,0.000,0.000
2.112,0.276,0.856,34.73,0.073,3.656,0.708,2.948,0.000,0.000
2.122,0.277,0.860,35.03,0.074,3.653,0.707,2.945,0.000,0.000
2.132,0.278,0.864,35.34,0.075,3.650,0.707,2.943,0.000,0.000
2.142,0.279,0.868,35.64,0.076,3.647,0.706,2.941,0.000,0.000
2.152,0.281,0.872,35.95,0.077,3.645,0.706,2.938,0.000,0.000
2.162,0.282,0.876,36.27,0.078,3.642,0.706,2.936,0.000,0.000
2.172,0.283,0.880,36.58,0.079,3.640,0.707,2.934,0.000,0.000
2.182,0.285,0.884,36.91,0.081,3.639,0.707,2.931,0.000,0.000
2.192,0.286,0.888,37.23,0.082,3.638,0.709,2.929,0.000,0.000
2.202,0.287,0.892,37.56,0.083,3.637,0.710,2.927,0.000,0.000
2.212,0.289,0.896,37.90,0.084,3.636,0.712,2.924,0.000,0.000
2.222,0.290,0.900,38.25,0.085,3.636,0.714,2.922,0.000,0.000
